number,id,title,state,user,pr_files
527,16775034,typo: You'll should -> You should,closed,ghost,Functional-programming.rmd
526,16708546,Update Subsetting.rmd,closed,ajdamico,Subsetting.rmd
525,16708367,Update Subsetting.rmd,closed,ajdamico,Subsetting.rmd
524,16675975,Update Data-structures.rmd,closed,freezby,Data-structures.rmd
523,16574485,"Added missing ""no"" to the statement about scalars.",closed,otepoti,Data-structures.rmd
522,16571735,Just spelling/punctuation,closed,SplashDance,Data-structures.rmd
522,16571735,Just spelling/punctuation,closed,SplashDance,Subsetting.rmd
521,16569357,Update OO-essentials.rmd,closed,whitwort,OO-essentials.rmd
520,16515404,removed reference to roxygen3,closed,dlebauer,Documenting-functions.rmd
519,16466737,Update Introduction.rmd,closed,jvcasill,Introduction.rmd
518,16452477,g() or i()?,closed,sbgraves237,Environments.rmd
517,16443596,description does not match diagram,closed,sbgraves237,Environments.rmd
516,16442460,lib & require,closed,sbgraves237,Environments.rmd
515,16406232,Update Functions.rmd,closed,ilanman,Functions.rmd
514,16405376,Update Functions.rmd,closed,ilanman,Functions.rmd
513,16404100,Update Environments.rmd,closed,eddelbuettel,Environments.rmd
512,16404040,Update Environments.rmd,closed,eddelbuettel,Environments.rmd
511,16403411,Fixing small typos and changing some wording,closed,amoeba,Environments.rmd
510,16376103,"added ""begin"" to ""can't with _"" for ""binding names to values""",closed,rmflight,Environments.rmd
509,16367883,Update Environments.rmd,closed,jastingo,Environments.rmd
507,16328004,typo,closed,hmalmedal,Profiling.rmd
506,16222479,"Fix typo, s/interger/integer",closed,andrewla,C-interface.rmd
505,16196663,Update Data-structures.rmd,closed,woodvi,Data-structures.rmd
503,16061794,Fixing a typo,closed,alexvoronov,Functions.rmd
502,16038116,Update memory.rmd,closed,hassaad85,memory.rmd
501,16037816,Update Git.rmd,closed,hassaad85,Git.rmd
500,16026118,C-interface: pairlists ...,closed,lindbrook,C-interface.rmd
499,16014892,C-interface: Creating and modifying vectors,closed,lindbrook,C-interface.rmd
498,15927745,missing word,closed,ste-fan,Philosophy.rmd
497,15857809,"C-interface: Intro, Calling … and Data structures",closed,lindbrook,C-interface.rmd
496,15853352,Rcpp: Case studies ...,open,lindbrook,Rcpp.rmd
495,15767128,Update C-interface.rmd,closed,swnydick,C-interface.rmd
494,15766894,Update C-interface.rmd,closed,swnydick,C-interface.rmd
493,15762500,Update C-interface.rmd,closed,richierocks,C-interface.rmd
492,15750260,Rcpp: STL,open,lindbrook,Rcpp.rmd
491,15738998,Rcpp Sugar,closed,lindbrook,Rcpp.rmd
490,15734890,Rcpp: missing values,closed,lindbrook,Rcpp.rmd
489,15727943,"little change to pdistC, to make it closer to pdistR",closed,lbraglia,Rcpp.rmd
488,15709691,Update Profiling.rmd,closed,swnydick,Profiling.rmd
487,15708439,Update Profiling.rmd,closed,swnydick,Profiling.rmd
486,15707565,Update Profiling.rmd,closed,swnydick,Profiling.rmd
485,15707307,Update Profiling.rmd,closed,swnydick,Profiling.rmd
484,15495684,Fix typos,closed,ajdm,Data-structures.rmd
483,15474902,Memory: gc(),closed,lindbrook,memory.rmd
482,15474820,Profiling: matrix algebra,closed,lindbrook,Profiling.rmd
481,15474228,Update Exceptions-Debugging.rmd,closed,sbgraves237,Exceptions-Debugging.rmd
480,15420194,Rcpp classes and methods,closed,lindbrook,Rcpp.rmd
479,15371097,Rcpp:Getting started & Getting started with C++,closed,lindbrook,Rcpp.rmd
478,15327140,Rcpp intro,closed,lindbrook,Rcpp.rmd
477,15311369,Some minor changes + PROTECTion fix,closed,kevinushey,C-interface.rmd
476,15298676,Update Functions.rmd,closed,twjacobs,Functions.rmd
475,15249284,Clarify back-and-forth sentence,closed,Ironholds,Functions.rmd
474,15246797,Update Function-operators.rmd,closed,swnydick,Function-operators.rmd
473,15234521,Update Subsetting.rmd,closed,twjacobs,Subsetting.rmd
472,15210686,"avoid duplication of ""cutting edge tools"".",closed,Ironholds,Introduction.rmd
471,15208964,if <- in,closed,Ironholds,Formulas.rmd
470,15204868,Profiling: Do as little as possible ...,closed,lindbrook,Profiling.rmd
469,15199523,Profiling: Improving performance,closed,lindbrook,Profiling.rmd
468,15153419,Profiling: Prerequisites & Measuring performance,closed,lindbrook,Profiling.rmd
467,15149886,reading source code (typos),closed,lindbrook,Introduction.rmd
466,15140326,reading source code,closed,lindbrook,Introduction.rmd
465,15089390,Update Introduction.rmd,closed,twjacobs,Introduction.rmd
464,14969497,Add the requirement for Suggests: testthat,closed,juancentro,Testing.rmd
463,14941164,Add new best practice for R CMD CHECK integration,closed,juancentro,Testing.rmd
462,14927068,Update Rcpp.rmd,closed,eriqande,Rcpp.rmd
461,14888994,Update Function-operators.rmd,closed,sailingwave,Function-operators.rmd
460,14827965,Data structures: TRUE and FALSE > T & F ?,closed,lindbrook,Data-structures.rmd
459,14742660,Update OO-essentials.rmd,closed,sailingwave,OO-essentials.rmd
458,14687828,Memory: lineprof & modification in place,closed,lindbrook,memory.rmd
457,14682365,L suffix,closed,lindbrook,Data-structures.rmd
456,14681865,Memory: Total memory use & Garbage Collection,closed,lindbrook,memory.rmd
455,14638444,Memory: Intro & object.size(),closed,lindbrook,memory.rmd
454,14619264,Update Documenting-functions.rmd,closed,ctbrown,Documenting-functions.rmd
453,14424642,typo,closed,Bozh,Functions.rmd
452,14301272,Fixed a typo and clarified a couple of examples,closed,iaindillingham,Data-structures.rmd
